scripts/beale-harden.sh:20:8: note: Not following: /home/egx570/repos/rylan-unifi-case-study/scripts/lib/beale-firewall-vlan-ssh.sh was not specified as input (see shellcheck -x). [SC1091]
scripts/beale-harden.sh:22:8: note: Not following: /home/egx570/repos/rylan-unifi-case-study/scripts/lib/beale-services-adversarial.sh was not specified as input (see shellcheck -x). [SC1091]
scripts/beale-harden.sh:87:3: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:88:3: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:89:3: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:90:3: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:92:3: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:92:6: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:93:5: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:94:5: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:94:28: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:95:5: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:96:19: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:111:5: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
scripts/beale-harden.sh:114:3: note: Command appears to be unreachable. Check usage (or ignore if invoked indirectly). [SC2317]
